key,status,detail
"146.814000,0.118910",skip,skip ra=146.8140 dec=0.1189 (n=25)
"147.218100,-2.728250",skip,skip ra=147.2181 dec=-2.7283 (n=46)
"145.774530,53.846790",ok,ok   oid=786207300000897 n=1112 ra=145.7745 dec=53.8468
"147.162090,5.357520",ok,ok   oid=467209400028287 n=182 ra=147.1621 dec=5.3575
"147.419650,40.236860",ok,ok   oid=711207200009171 n=129 ra=147.4196 dec=40.2369
"146.944110,54.832080",ok,ok   oid=786207100016111 n=993 ra=146.9441 dec=54.8321
"149.162840,15.092930",ok,ok   oid=520215200017800 n=338 ra=149.1628 dec=15.0929
"147.506040,56.834510",skip,skip ra=147.5060 dec=56.8345 (n=42)
"148.636680,3.879900",skip,skip ra=148.6367 dec=3.8799 (n=19)
"150.485340,10.779830",ok,ok   oid=520206300000122 n=128 ra=150.4853 dec=10.7798
"149.761500,2.318440",ok,ok   oid=468203200010155 n=873 ra=149.7615 dec=2.3184
"149.279590,-0.153600",skip,skip ra=149.2796 dec=-0.1536 (n=29)
"150.706860,14.063160",skip,skip ra=150.7069 dec=14.0632 (n=113)
"154.102050,-1.011130",skip,skip ra=154.1020 dec=-1.0111 (n=9)
"151.262810,37.497510",ok,ok   oid=711202400008135 n=611 ra=151.2628 dec=37.4975
"151.238880,11.628500",ok,ok   oid=520206200000286 n=467 ra=151.2389 dec=11.6285
"153.172870,55.496070",ok,ok   oid=786209400002532 n=912 ra=153.1729 dec=55.4961
"155.053490,32.793670",ok,ok   oid=668207200003283 n=823 ra=155.0535 dec=32.7937
"153.774190,13.784110",skip,skip ra=153.7742 dec=13.7841 (n=6)
"152.970750,54.701780",ok,ok   oid=786205100026577 n=1057 ra=152.9708 dec=54.7018
"154.625480,49.063320",ok,ok   oid=752211200013158 n=1051 ra=154.6255 dec=49.0633
"155.311790,5.293140",ok,ok   oid=469212400007510 n=391 ra=155.3118 dec=5.2931
"155.862160,39.352250",ok,ok   oid=712207300009030 n=385 ra=155.8622 dec=39.3522
"157.095140,23.905530",ok,ok   oid=621203200009040 n=256 ra=157.0951 dec=23.9055
"157.547040,22.647190",ok,ok   oid=621203300013224 n=501 ra=157.5470 dec=22.6472
"156.991430,0.074730",ok,ok   oid=418214300001171 n=340 ra=156.9914 dec=0.0747
"157.984740,46.852390",skip,skip ra=157.9847 dec=46.8524 (n=1)
"158.158110,16.648890",ok,ok   oid=572203200008620 n=355 ra=158.1581 dec=16.6489
"159.443920,33.028850",ok,ok   oid=668205200008092 n=285 ra=159.4439 dec=33.0288
"161.468440,0.402870",ok,ok   oid=419216100009466 n=282 ra=161.4684 dec=0.4029
"160.984770,9.641750",ok,ok   oid=521201100010124 n=155 ra=160.9848 dec=9.6418
"160.410870,0.833700",ok,ok   oid=419216200001308 n=133 ra=160.4109 dec=0.8337
"159.604620,46.953350",ok,ok   oid=752206100028342 n=806 ra=159.6046 dec=46.9534
"164.544050,3.194660",ok,ok   oid=470207400014726 n=277 ra=164.5440 dec=3.1947
"163.905130,27.378750",skip,skip ra=163.9051 dec=27.3788 (n=43)
"162.383530,9.266580",ok,ok   oid=522204100004322 n=446 ra=162.3835 dec=9.2666
"165.379370,2.917830",ok,ok   oid=470206300011805 n=475 ra=165.3794 dec=2.9178
"166.096770,63.718140",ok,ok   oid=818211100008510 n=679 ra=166.0968 dec=63.7181
"166.439950,2.665300",skip,skip ra=166.4400 dec=2.6653 (n=23)
"166.401900,12.906570",skip,skip ra=166.4019 dec=12.9066 (n=0)
"162.074130,38.254390",ok,ok   oid=712201100033038 n=1028 ra=162.0741 dec=38.2544
"167.606020,-0.059470",ok,ok   oid=420216300010522 n=263 ra=167.6060 dec=-0.0595
"166.923820,5.437820",ok,ok   oid=470209300008154 n=237 ra=166.9238 dec=5.4378
"166.928200,4.359510",ok,ok   oid=470205200008131 n=379 ra=166.9282 dec=4.3595
"168.373720,53.227440",ok,ok   oid=788207400012028 n=698 ra=168.3737 dec=53.2274
"168.666270,-0.470750",skip,skip ra=168.6663 dec=-0.4708 (n=0)
"166.229900,1.315750",ok,ok   oid=470202400015388 n=219 ra=166.2299 dec=1.3157
"166.502220,9.592240",ok,ok   oid=522202100025656 n=141 ra=166.5022 dec=9.5922
"170.807480,2.557530",skip,skip ra=170.8075 dec=2.5575 (n=3)
"170.260650,4.060020",skip,skip ra=170.2606 dec=4.0600 (n=0)
"169.623530,32.066670",ok,ok   oid=670208400002464 n=696 ra=169.6235 dec=32.0667
"170.463180,2.852160",ok,ok   oid=471207300006582 n=329 ra=170.4632 dec=2.8522
"169.481200,57.635070",skip,skip ra=169.4812 dec=57.6351 (n=28)
"171.846310,-2.725810",skip,skip ra=171.8463 dec=-2.7258 (n=7)
"169.920710,14.492390",ok,ok   oid=523216400027198 n=234 ra=169.9207 dec=14.4924
"171.831230,4.199230",ok,ok   oid=471206200001940 n=355 ra=171.8312 dec=4.1992
"169.506340,36.868900",skip,skip ra=169.5063 dec=36.8689 (n=65)
"172.411110,21.128830",ok,ok   oid=574215400015290 n=507 ra=172.4111 dec=21.1288
"172.587500,2.369870",ok,ok   oid=471202200001794 n=363 ra=172.5875 dec=2.3699
"173.121410,3.958090",ok,ok   oid=471206100003995 n=383 ra=173.1214 dec=3.9581
"172.826780,58.311580",ok,ok   oid=788214100001969 n=742 ra=172.8268 dec=58.3116
"173.686300,28.153760",skip,skip ra=173.6863 dec=28.1538 (n=0)
"173.289610,9.752470",skip,skip ra=173.2896 dec=9.7525 (n=18)
"173.958810,0.705810",ok,ok   oid=420213100001922 n=207 ra=173.9588 dec=0.7058
"173.688290,36.823010",skip,skip ra=173.6883 dec=36.8230 (n=38)
"174.747430,2.812760",ok,ok   oid=471205400005990 n=179 ra=174.7474 dec=2.8128
"172.791000,34.164800",skip,skip ra=172.7910 dec=34.1648 (n=2)
"174.062830,-0.387300",ok,ok   oid=420213400008346 n=342 ra=174.0628 dec=-0.3873
"174.280440,27.104680",ok,ok   oid=623210300010305 n=379 ra=174.2804 dec=27.1047
"177.644950,0.958010",ok,ok   oid=421215100000782 n=142 ra=177.6449 dec=0.9580
"175.211120,64.826550",ok,ok   oid=819216400000789 n=888 ra=175.2111 dec=64.8265
"176.926810,13.808130",skip,skip ra=176.9268 dec=13.8081 (n=30)
"176.289540,65.896260",ok,ok   oid=843203300008186 n=712 ra=176.2895 dec=65.8963
"178.817730,20.952230",skip,skip ra=178.8177 dec=20.9522 (n=0)
"178.474860,-0.925270",skip,skip ra=178.4749 dec=-0.9253 (n=7)
"178.512510,0.531660",ok,ok   oid=421214200003691 n=214 ra=178.5125 dec=0.5317
"178.991180,3.702150",ok,ok   oid=472206200006848 n=246 ra=178.9912 dec=3.7022
"177.128190,39.426980",skip,skip ra=177.1282 dec=39.4270 (n=2)
"179.805310,6.167360",skip,skip ra=179.8053 dec=6.1674 (n=13)
"180.020740,59.403500",ok,ok   oid=1824212200020522 n=211 ra=180.0207 dec=59.4035
"179.972460,5.225000",ok,ok   oid=472210400009308 n=302 ra=179.9725 dec=5.2250
"179.907870,65.760150",skip,skip ra=179.9079 dec=65.7601 (n=44)
"179.782600,49.782730",ok,ok   oid=754213300027611 n=891 ra=179.7826 dec=49.7827
"177.765740,53.027970",skip,skip ra=177.7657 dec=53.0280 (n=0)
"180.987270,34.994890",ok,ok   oid=671210200009825 n=607 ra=180.9873 dec=34.9949
"180.131930,62.727010",skip,skip ra=180.1319 dec=62.7270 (n=34)
"181.146320,48.925810",ok,ok   oid=754209100005520 n=679 ra=181.1463 dec=48.9258
